obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name
Bright Stars,111,236607658,236607658,1,236607658.0,Bright Stars,null,236607658
Bright Stars,12,246469764,246469764,1,246469764.0,Bright Stars,null,246469764
Bright Stars,12,246074639,246074639,1,246074639.0,Bright Stars,null,246074639
Bright Stars,12,246295592,246295592,1,246295592.0,Bright Stars,null,246295592
Bright Stars,12,246215297,246215297,1,246215297.0,Bright Stars,null,246215297
Bright Stars,12,246391470,246391470,1,246391470.0,Bright Stars,null,246391470
Bright Stars,12,246008579,246008579,1,246008579.0,Bright Stars,null,246008579
Bright Stars,12,246103672,246103672,1,246103672.0,Bright Stars,null,246103672
Bright Stars,12,246440969,246440969,1,246440969.0,Bright Stars,null,246440969
Bright Custom,92,224683312,224683312,1,224683312.0,Bright Custom,null,224683312
Bright Custom,92,224751481,224751481,1,224751481.0,Bright Custom,null,224751481
Bright Custom,92,226366044,226366044,1,226366044.0,Bright Custom,null,226366044
Bright Custom,92,222747658,222747658,1,222747658.0,Bright Custom,null,222747658
Bright Custom,92,221795402,221795402,1,221795402.0,Bright Custom,null,221795402
Bright Custom,92,224417524,224417524,1,224417524.0,Bright Custom,null,224417524
Bright Custom,92,227731465,227731465,1,227731465.0,Bright Custom,null,227731465
Bright Custom,92,227153528,227153528,1,227153528.0,Bright Custom,null,227153528
Bright Custom,92,225295599,225295599,1,225295599.0,Bright Custom,null,225295599
Bright Custom,92,228208266,228208266,1,228208266.0,Bright Custom,null,228208266
Bright Custom,92,226520302,226520302,1,226520302.0,Bright Custom,null,226520302
Bright Custom,92,224373654,224373654,1,224373654.0,Bright Custom,null,224373654
Bright Custom,92,227232996,227232996,1,227232996.0,Bright Custom,null,227232996
Bright Custom,92,224082656,224082656,1,224082656.0,Bright Custom,null,224082656
Bright Custom,92,226008726,226008726,1,226008726.0,Bright Custom,null,226008726
Bright Custom,92,224416513,224416513,1,224416513.0,Bright Custom,null,224416513
Bright Custom,92,227176652,227176652,1,227176652.0,Bright Custom,null,227176652
Bright Custom,92,225617206,225617206,1,225617206.0,Bright Custom,null,225617206
Bright Custom,92,226452034,226452034,1,226452034.0,Bright Custom,null,226452034
Bright Custom,92,225171184,225171184,1,225171184.0,Bright Custom,null,225171184
Bright Custom,92,224460285,224460285,1,224460285.0,Bright Custom,null,224460285
Bright Custom,92,222285672,222285672,1,222285672.0,Bright Custom,null,222285672
Bright Custom,92,224352697,224352697,1,224352697.0,Bright Custom,null,224352697
Bright Custom,92,223738147,223738147,1,223738147.0,Bright Custom,null,223738147
Bright Custom,92,225747586,225747586,1,225747586.0,Bright Custom,null,225747586
Bright Custom,91,224683312,224683312,1,224683312.0,Bright Custom,null,224683312
Bright Custom,91,224751481,224751481,1,224751481.0,Bright Custom,null,224751481
Bright Custom,91,226366044,226366044,1,226366044.0,Bright Custom,null,226366044
Bright Custom,91,222747658,222747658,1,222747658.0,Bright Custom,null,222747658
Bright Custom,91,221795402,221795402,1,221795402.0,Bright Custom,null,221795402
Bright Custom,91,224417524,224417524,1,224417524.0,Bright Custom,null,224417524
Bright Custom,91,227731465,227731465,1,227731465.0,Bright Custom,null,227731465
Bright Custom,91,227153528,227153528,1,227153528.0,Bright Custom,null,227153528
Bright Custom,91,225295599,225295599,1,225295599.0,Bright Custom,null,225295599
Bright Custom,91,228208266,228208266,1,228208266.0,Bright Custom,null,228208266
Bright Custom,91,226520302,226520302,1,226520302.0,Bright Custom,null,226520302
Bright Custom,91,224373654,224373654,1,224373654.0,Bright Custom,null,224373654
Bright Custom,91,227232996,227232996,1,227232996.0,Bright Custom,null,227232996
Bright Custom,91,224082656,224082656,1,224082656.0,Bright Custom,null,224082656
Bright Custom,91,226008726,226008726,1,226008726.0,Bright Custom,null,226008726
Bright Custom,91,224416513,224416513,1,224416513.0,Bright Custom,null,224416513
Bright Custom,91,227176652,227176652,1,227176652.0,Bright Custom,null,227176652
Bright Custom,91,225617206,225617206,1,225617206.0,Bright Custom,null,225617206
Bright Custom,91,226452034,226452034,1,226452034.0,Bright Custom,null,226452034
Bright Custom,91,225171184,225171184,1,225171184.0,Bright Custom,null,225171184
Bright Custom,91,224460285,224460285,1,224460285.0,Bright Custom,null,224460285
Bright Custom,91,222285672,222285672,1,222285672.0,Bright Custom,null,222285672
Bright Custom,91,224352697,224352697,1,224352697.0,Bright Custom,null,224352697
Bright Custom,91,223738147,223738147,1,223738147.0,Bright Custom,null,223738147
Bright Custom,91,225747586,225747586,1,225747586.0,Bright Custom,null,225747586
Isolated Stars,92,200069387,200069387,1,200069387.0,Isolated Stars,null,200069387
Isolated Stars,92,200069388,200069388,1,200069388.0,Isolated Stars,null,200069388
Isolated Stars,92,200069389,200069389,1,200069389.0,Isolated Stars,null,200069389
Isolated Stars,92,200069390,200069390,1,200069390.0,Isolated Stars,null,200069390
Isolated Stars,91,200069387,200069387,1,200069387.0,Isolated Stars,null,200069387
Isolated Stars,91,200069388,200069388,1,200069388.0,Isolated Stars,null,200069388
Isolated Stars,91,200069389,200069389,1,200069389.0,Isolated Stars,null,200069389
Isolated Stars,91,200069390,200069390,1,200069390.0,Isolated Stars,null,200069390
Bright Stars SC,13,247649941,247649941,1,247649941.0,Bright Stars SC,null,247649941
Bright Stars SC,13,246810368,246810368,1,246810368.0,Bright Stars SC,null,246810368
Bright Stars SC,13,210528045,210528045,1,210528045.0,Bright Stars SC,null,210528045
Bright Stars SC,13,210956961,210956961,1,210956961.0,Bright Stars SC,null,210956961
Bright Stars SC,13,210989874,210989874,1,210989874.0,Bright Stars SC,null,210989874
Bright Stars SC,13,246721980,246721980,1,246721980.0,Bright Stars SC,null,246721980
Bright Stars SC,13,210548567,210548567,1,210548567.0,Bright Stars SC,null,210548567
Bright Stars SC,13,247117838,247117838,1,247117838.0,Bright Stars SC,null,247117838
Bright Stars SC,13,210950988,210950988,1,210950988.0,Bright Stars SC,null,210950988
